product_id,title,handle,error,timestamp
gid://shopify/Product/6560178372767,Khaadi I20206 Yellow Summer Collection 2020,khaadi-i20206-yellow-summer-collection-2020,"Gemini vision request failed (404): {""error"":{""code"":404,""message"":""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use models/gemini-3.5-flash-lite for the latest features and improvements. We recommend you to use the Interactions API."",""status"":""NOT_FOUND""}}",2026-09-19T16:03:25.816Z
gid://shopify/Product/6560178503839,Khaadi I20210 Pink Summer Collection 2020,khaadi-i20210-pink-summer-collection-2020,"Gemini vision request failed (404): {""error"":{""code"":404,""message"":""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use models/gemini-3.5-flash-lite for the latest features and improvements. We recommend you to use the Interactions API."",""status"":""NOT_FOUND""}}",2026-09-19T16:03:33.392Z
gid://shopify/Product/6560178602143,Khaadi J20219 Orange Summer Collection 2020,khaadi-j20219-orange-summer-collection-2020,"Gemini vision request failed (404): {""error"":{""code"":404,""message"":""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use models/gemini-3.5-flash-lite for the latest features and improvements. We recommend you to use the Interactions API."",""status"":""NOT_FOUND""}}",2026-09-19T16:03:41.148Z
gid://shopify/Product/6560178733215,Khaadi J20220 Pink Summer Collection 2020,khaadi-j20220-pink-summer-collection-2020,"Gemini vision request failed (404): {""error"":{""code"":404,""message"":""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use models/gemini-3.5-flash-lite for the latest features and improvements. We recommend you to use the Interactions API."",""status"":""NOT_FOUND""}}",2026-09-19T16:03:48.695Z
gid://shopify/Product/6560178864287,Khaadi J20220 Purple Summer Collection 2020,khaadi-j20220-purple-summer-collection-2020,"Gemini vision request failed (404): {""error"":{""code"":404,""message"":""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use models/gemini-3.5-flash-lite for the latest features and improvements. We recommend you to use the Interactions API."",""status"":""NOT_FOUND""}}",2026-09-19T16:03:56.266Z
gid://shopify/Product/6560178962591,Khaadi J20221 Yellow Summer Collection 2020,khaadi-j20221-yellow-summer-collection-2020,"Gemini vision request failed (404): {""error"":{""code"":404,""message"":""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use models/gemini-3.5-flash-lite for the latest features and improvements. We recommend you to use the Interactions API."",""status"":""NOT_FOUND""}}",2026-09-19T16:04:03.903Z
gid://shopify/Product/6560179093663,Khaadi J20228 Green Summer Collection 2020,khaadi-j20228-green-summer-collection-2020,"Gemini vision request failed (404): {""error"":{""code"":404,""message"":""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use models/gemini-3.5-flash-lite for the latest features and improvements. We recommend you to use the Interactions API."",""status"":""NOT_FOUND""}}",2026-09-19T16:04:11.481Z
gid://shopify/Product/6560179224735,Khaadi J20229 Orange Summer Collection 2020,khaadi-j20229-orange-summer-collection-2020,"Gemini vision request failed (404): {""error"":{""code"":404,""message"":""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use models/gemini-3.5-flash-lite for the latest features and improvements. We recommend you to use the Interactions API."",""status"":""NOT_FOUND""}}",2026-09-19T16:04:19.201Z
gid://shopify/Product/6560179421343,Khaadi J20232 Green Summer Collection 2020,khaadi-j20232-green-summer-collection-2020,"Gemini vision request failed (404): {""error"":{""code"":404,""message"":""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use models/gemini-3.5-flash-lite for the latest features and improvements. We recommend you to use the Interactions API."",""status"":""NOT_FOUND""}}",2026-09-19T16:04:26.793Z
gid://shopify/Product/6560179585183,Khaadi L20216 Beige Summer Collection 2020,khaadi-l20216-beige-summer-collection-2020,"Gemini vision request failed (404): {""error"":{""code"":404,""message"":""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use models/gemini-3.5-flash-lite for the latest features and improvements. We recommend you to use the Interactions API."",""status"":""NOT_FOUND""}}",2026-09-19T16:04:34.379Z
